股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh600000,浦发银行,2010/1/4,21.83,21.87,21.16,21.19,21.69,66191338,1419984112,1.6795E+11,1.87109E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,40777.05,31538.67,38958.8,41650.56,26680.5,15352.09,32783.28,50658.32,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,21.76,21.71,21.54
sh600000,浦发银行,2010/1/5,21.41,21.58,20.79,21.35,21.19,115147943,2436890938,1.69218E+11,1.88521E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,61948.74,46103.29,62473.25,58891.8,41114.04,24815.23,63622.28,99347.98,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,21.38,21.25,21.08
sh600000,浦发银行,2010/1/6,21.29,21.3,20.88,20.93,21.35,96782575,2034174032,1.65889E+11,1.84813E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,47379.4,28749.63,46751.74,37017.17,33735.69,15327.74,52043.4,98815.7,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,21.17,21.06,21.05
sh600000,浦发银行,2010/1/7,20.88,21.04,20.3,20.46,20.93,85236072,1761800969,1.62164E+11,1.80663E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,44873.97,34844.4,46481.93,44906.97,35425.46,18272.51,41278.34,70035.83,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.9,20.93,20.85
sh600000,浦发银行,2010/1/8,20.34,20.8,20.3,20.69,20.46,65707646,1349532409,1.63987E+11,1.82694E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,35581.98,32772.39,35298.36,40701.14,21227.41,17512.13,42841.16,43963.23,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.46,20.37,20.48
sh600000,浦发银行,2010/1/11,21.6,21.8,20.57,20.69,20.69,116304812,2456819007,1.63987E+11,1.82694E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,54364.66,42497.18,56421.45,49000.82,32958.18,23610.31,62895.47,91531.45,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,21.38,21.33,21.33
sh600000,浦发银行,2010/1/12,20.63,20.97,20.26,20.8,20.69,82351139,1691919888,1.64858E+11,1.83665E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,47845.99,37254.22,48400.29,45540.61,32081.84,20922.97,34570.52,59180.84,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.55,20.46,20.3
sh600000,浦发银行,2010/1/13,20.25,20.35,19.8,19.83,20.8,146399684,2930936726,1.5717E+11,1.751E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,89139.75,53809.24,69576.41,63469.22,85323.8,30625.07,49053.71,145190.13,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.33,20.25,20.1
sh600000,浦发银行,2010/1/14,19.87,20.02,19.64,19.97,19.83,77340771,1535655470,1.5828E+11,1.76336E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,42029.44,35342.97,33517.24,37112.11,35608.54,21063.02,30618.47,48255.59,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,19.87,19.76,19.91
sh600000,浦发银行,2010/1/15,20.02,20.25,19.72,20.04,19.97,69183668,1384564649,1.58835E+11,1.76954E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,37685.35,40626.39,40035.77,41409.86,26665.85,20624.61,34069.49,35795.6,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,19.91,19.91,19.8
sh600000,浦发银行,2010/1/18,19.91,20.29,19.87,20.24,20.04,69940218,1408342623,1.6042E+11,1.7872E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,30456.02,34808.35,35614.07,33542.51,17641.8,17936.62,36962.47,34386.88,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.05,20.02,20.08
sh600000,浦发银行,2010/1/19,20.25,20.59,20.21,20.35,20.24,69966139,1428370744,1.61292E+11,1.79691E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,32266.1,33454.66,36886.33,37292,17158.21,19296.42,40649.06,36916.62,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.33,20.37,20.53
sh600000,浦发银行,2010/1/20,20.42,20.53,19.6,19.79,20.35,80776510,1612704739,1.56853E+11,1.74747E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,42050.06,34854.71,39852.82,47810.06,37782.35,19733.23,35370.94,52658.17,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.42,20.35,20.25
sh600000,浦发银行,2010/1/21,19.88,20.57,19.76,20.47,19.79,93418186,1888959519,1.62243E+11,1.80751E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,39222.11,53078.37,48608.41,50194.14,22481.53,35603.53,71145.38,42581.39,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,19.87,19.84,20.03
sh600000,浦发银行,2010/1/22,20.2,21.1,20.01,20.9,20.47,154445976,3188523865,1.65651E+11,1.84548E+11,12962093611,84360983408,65121711909,1.58738E+12,1.52226E+12,3509399701,74636.99,87026.75,90297.54,90445.81,42959.13,57698.96,110958.73,83680.87,Y,Y, , , , ,金融服务,银行Ⅱ,银行Ⅲ,20.18,20.25,20.28
